ID,Study,Year,Venue,Agent Type,Threat,Attack Entry,Runtime?,Context,Behavioral,Tool/Action,Multi-Step,Provenance,Decision,Mitigation,Benchmark,Financial Context,Metrics,Main Result,Limitation,Evidence Level
P52,Debenedetti et al. (2025) — Defeating prompt injections by design (CaMeL),2025,"arXiv preprint, arXiv:2503.18813 (v2)",Tool-using LLM agents,Prompt injection; data exfiltration,Untrusted data,Yes,Yes,Not Reported,Yes,Yes (data flow across steps),Yes,Yes,Yes,AgentDojo,Not Reported,Tasks solved with provable security,77% of tasks solved with provable security vs. 84% undefended (v2; earlier version 67%),Restructures agent execution; version conflict recorded,MODERATE EVIDENCE
P53,Xiang et al. (2025) — GuardAgent: Safeguard LLM agents via knowledge-enabled reasoning,2025,"ICML 2025, PMLR 267:68316–68342",LLM agents,Violations of safety guard requests,Not Applicable,Yes,Not Reported,Not Reported,Yes,Not Reported,Not Reported,Yes,Yes,Not Verified,Not Reported,Not Verified,Plans and generates guardrail code that checks target-agent actions,Depends on specified guard requests,LIMITED EVIDENCE
P54,"Z. Chen, Kang, & Li (2025) — ShieldAgent: Shielding agents via verifiable safety policy reasoning",2025,"ICML 2025, PMLR 267:8313–8344",LLM agents,Policy violations over trajectories,Not Applicable,Yes,Not Reported,Yes (trajectory-level),Yes,Yes,Not Reported,Yes,Yes,Not Verified,Not Reported,Not Verified,Probabilistic rule circuits extracted from policy documents; verifiable trajectory compliance,Requires policy documents,LIMITED EVIDENCE
P55,Hua et al. (2024) — TrustAgent: Towards safe and trustworthy LLM-based agents,2024,"Findings of EMNLP 2024, pp. 10000–10016",LLM-based agents,Unsafe planning,Not Applicable,Yes (planning stage),Not Reported,Not Reported,Yes (plan-level),Yes (plan-level),Not Reported,Not Verified,Yes (plan revision),Not Verified,Not Reported,Not Verified,"Agent constitution applied pre-, in- and post-planning",Planning-level only,LIMITED EVIDENCE
P56,Jiang et al. (2025) — Think twice before you act: Enhancing agent behavioral safety with thought correction (Thought-Aligner),2025,"arXiv preprint, arXiv:2505.11063 (accepted to ICML 2026)",LLM agents,Unsafe intermediate thoughts,Not Applicable,Yes,Not Reported,Yes (thought-level),Not Reported,Yes (partial),Not Reported,Not Verified,Yes (thought correction),Six LLMs,Not Reported,Behavioural safety rate,Behavioural safety from about 50% to about 90% on average across six LLMs,Trained correction model,MODERATE EVIDENCE
P57,"Zhu, Yang, et al. (2025) — MELON: Provable defense against indirect prompt injection attacks in AI agents",2025,"ICML 2025, PMLR 267",Tool-using LLM agents,Indirect prompt injection,Tool outputs,Yes,Not Reported,Yes,Yes,Yes,Not Reported,Yes,Not Verified,Not Verified,Not Reported,Not Verified,Attack flagged when actions under masked re-execution match the original trajectory,Extra execution cost,LIMITED EVIDENCE
P58,She et al. (2026) — Safeguarding LLM agents from misalignment through provenance analysis (ProvenanceGuard),2026,"arXiv preprint, arXiv:2607.01236",Tool-using LLM agents,Misaligned tool calls incl. IPI,Tool outputs; context,Yes,Yes,Yes (partial),Yes,Not Reported,Yes,Yes,Yes,Agent-SafetyBench; WorkBench,Not Reported,Error rate; intervention rate; cost; latency,Error 44.3% to 2.1% (Agent-SafetyBench) and 32.4% to 18.7% (WorkBench); intervention rate on aligned traces 14.5% vs. 10.9%; about 3.6 LLM calls with higher latency and cost (body details partially verified),Intervention-cost trade-off; body details via search excerpts only,MODERATE EVIDENCE
P59,C. L. Wang et al. (2025) — MI9: An integrated runtime governance framework for agentic AI,2025,"arXiv preprint, arXiv:2508.03858",Agentic AI systems,Emergent/unsafe agent behaviour (governance),Not Applicable,Yes,Not Reported,Yes,Yes,Yes,Not Reported,Yes,Yes (graduated containment),"1,033 synthetic scenarios",Not Verified,Detection rate,"99.81% detection across 1,033 synthetic scenarios (v1 abstract)","Synthetic evaluation; adversarial evaluation deferred (authors, partially verified)",MODERATE EVIDENCE
P60,"F. Li (2026) — OpenClaw PRISM: A zero-fork, defense-in-depth runtime security layer for tool-augmented LLM agents",2026,"arXiv preprint, arXiv:2603.11853",Tool-augmented agent gateway,"IPI, unsafe tools, credential leakage, tampering",Tool inputs/outputs; files; credentials,Yes,Yes,Yes (session risk accumulation),Yes,Yes,Not Reported,Yes,Yes,Not Verified,Not Reported,Not Verified,"Ten lifecycle hooks, hybrid scanning, policy controls and tamper-evident audit; session risk with TTL decay",Single ecosystem; results preliminary (author),LIMITED EVIDENCE
P61,H. Wang et al. (2025) — ProbGuard: Probabilistic runtime monitoring for LLM agent safety (formerly Pro2Guard),2025,"arXiv preprint, arXiv:2508.00500",Autonomous-driving and embodied agents,Safety-specification violations,Not Applicable,Yes,Not Reported,Yes,Yes,Yes,Not Reported,Yes,Yes,AV and embodied settings,No (non-financial),Warning lead time; unsafe-behaviour reduction; completion,Warnings up to 38.66 s ahead (AV); unsafe behaviour reduced by up to 65.37% with up to 80.4% completion (embodied); PAC-style guarantees,State abstraction; non-financial,MODERATE EVIDENCE
P62,W. Lin et al. (2026) — DreamGuard: Efficient runtime guardrail for LLM agents via risk-aware world model,2026,"arXiv preprint, arXiv:2608.05695",Tool-using LLM agents,Long-horizon hazardous drift,Not Applicable,Yes,Not Reported,Yes,Yes,Yes,Not Reported,Yes,Yes (PASS/HOLD/BLOCK),Not Verified,Not Reported,Latency; risk scores,Immediate-hazard and prefix-risk scores fused with calibration; about 25 ms per call,Learned world model; non-financial,MODERATE EVIDENCE
P63,H. Liu et al. (2026) — SafeAgent: A runtime protection architecture for agentic systems,2026,"arXiv preprint, arXiv:2604.17562",Agentic systems with multi-step workflows,Prompt injection propagating through workflows,Inputs and intermediate context,Yes,Yes,Yes,Yes,Yes,Not Reported,Yes,Yes,ASB; InjecAgent,Not Reported,Not Verified,Improves robustness on ASB and InjecAgent; recovery confidence and policy weighting set safety-utility operating points,LLM-realised operators; calibration/latency not reported (partially verified),LIMITED EVIDENCE
P64,C. Yang (2026) — AgentTrust: Runtime safety evaluation and interception for AI agent tool use,2026,"arXiv preprint, arXiv:2605.04785","Tool-using agents (shell, files, HTTP, credentials)",Unsafe tool-use side effects,Proposed tool call,Yes,Not Reported,Yes (seven chain detectors),Yes,Yes (session tracker; no measurable effect in ablation),Not Reported,Yes,Yes (allow/warn/block/review; safer alternatives),Author benchmark; 630 external scenarios,Not Reported,Verdict accuracy; risk-level accuracy; latency,95.0% verdict and 73.7% risk-level accuracy; about 1.72 ms vs. about 1.35 s for a zero-shot LLM judge; 96.7% on 630 external scenarios after rule patching,Rule/analyser verdicts; no calibrated probability reported; session tracker no measurable effect (partially verified),MODERATE EVIDENCE
P65,Hossain et al. (2026) — NEXUS: Structured runtime safety for tool-using LLM agents,2026,"arXiv preprint, arXiv:2607.19356",Tool-using LLM agents,Unsafe plans,Proposed plan and arguments,Yes,Not Reported,Yes (partial: session manager),Yes (argument-level),Yes (partial: plan-level),Not Reported,Yes,Yes (allow/block/confirm/revise),Author templates; R-Judge (OOD); stress set,Not Reported,F1; 4-class accuracy; ECE; latency,F1 0.949; 4-class accuracy 0.6406 (+27.3 pp over rule-only); ECE 0.085 to 0.013 with Platt; median 0.205 ms; OOD F1 0.861 (R-Judge) and 0.881 (stress); fixed intervention costs 0/0.1/0.3/1 set loss-optimal thresholds in a rule-first cascade,Plan-level; in-distribution results on author templates are upper bounds (authors); body details partially verified,MODERATE EVIDENCE
P66,Jackson (2025) — Designing a policy engine for agentic AI systems: From governance requirements to runtime enforcement,2025,"SSRN working paper, doi:10.2139/ssrn.5904104",Enterprise agentic systems,Governance violations,Not Applicable,Yes,Not Reported,Not Verified,Yes,Not Verified,Not Reported,Yes (multi-dimensional risk score),Yes (allow/deny/sanitize/escalate),Not Verified,Not Reported,Not Verified,Risk score drives an enforcement state machine; reductions in unsafe actions with minimal latency reported qualitatively,Unrefereed; full text not accessed,LIMITED EVIDENCE
P67,H.-H. Chen (2026) — Insuring every action: An authority frontier framework for runtime actuarial control of autonomous AI agents,2026,"arXiv preprint, arXiv:2605.25632",Agents taking side-effect-bearing actions,Consequences of side-effecting actions,Not Applicable,Yes,Not Reported,Not Reported,Yes,Not Reported,Not Reported,Yes (consequence pricing vs. reserve),Yes (gating),Not Applicable,"Yes (partial: payments, refunds as examples)",Not Applicable,Actuarial Action Interface prices consequences deterministically; Authority Frontier,No estimate of adversarial induction,LIMITED EVIDENCE
P68,Z. Chen et al. (2026) — Cordon: Semantic transactions for tool-using LLM agents,2026,"arXiv preprint, arXiv:2606.17573",Tool-using LLM agents,Irreversible effects; cross-step violations,Not Applicable,Yes,Not Reported,Not Reported,Yes,Yes,Not Reported,Not Reported,"Yes (staging, rollback, recovery)",Not Verified,Not Reported,Not Verified,Exposes cross-step violations and reduces irreversible-effect failures (qualitative at abstract level),Consumes rather than produces decisions,LIMITED EVIDENCE
P69,C. Zhang et al. (2026) — Calibration is not control: Why LLM-agent oversight needs intervention,2026,"arXiv preprint, arXiv:2606.21399",LLM-agent oversight,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes (trajectory prefixes),Not Applicable,Yes (intervention selection),Not Applicable,ALFWorld,Not Reported,ECE; regret,Platt scaling reduces ECE 0.463 to 0.006 while regret stays at 0.318 (ALFWorld; partially verified),Analysis paper; figures via search excerpts only,MODERATE EVIDENCE
P70,"Z. Chen, J. Chen, et al. (2025) — Standard benchmarks fail — Auditing LLM agents in finance must prioritize risk",2025,"arXiv preprint, arXiv:2502.15865 (position paper)",Financial LLM agents,"Hallucination, stale data, adversarial prompt manipulation",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Audit of six agents on three tasks,Yes,Not Verified,Accuracy/return metrics give an illusion of reliability; proposes three-level stress-testing agenda,Position paper,LIMITED EVIDENCE
P71,H. Jia et al. (2026) — FinHarness: An inline lifecycle safety harness for finance LLM agents,2026,"arXiv preprint, arXiv:2605.27333",Finance LLM agents,Prompt-induced unauthorised financial actions,User queries; tool calls,Yes,Yes,"Yes (partial: cross-turn drift, accumulated risk)",Yes,Yes,Not Reported,Yes,Yes (block/approve; escalation to advanced judge),FinVault (WITHDRAWN),Yes,ASR; benign approval; judge calls,ASR 38.3% to 15.0%; benign approval 41.1% to 39.3%; 4.7x fewer advanced-judge calls — all measured on the withdrawn FinVault benchmark,Evaluation benchmark withdrawn; LLM judges,LIMITED EVIDENCE
